id,creator_id,product_status_id,name,note,description_list,description_detail,search_word,free_area,create_date,update_date,discriminator_type
1,,1,スーパーバイオ２１,,,"☆　パパイヤ発酵酵素・・・スーパーバイオ21

パパイヤ酵母発酵酵素食品「スーパーバイオ21」 「スーパーバイオ21」は、多種多様の酵素やアミノ酸 ビタミン・ミネラルなどを含んでいる""青パパイヤ""を 主原料とし、複合微生物(乳酸菌・ラク酸菌・クエン酸菌 ・酵母など)の働きを利用して、自然環境下で発酵・熟成 して生まれたパパイヤ酵素発酵食品です。",バイオ,,2018-09-28 10:14:52,2018-09-28 10:14:52,product
2,,1,スクアラミンプルミエ,,,"☆　究極のアイ鮫生肝油・・・スクアラミンプルミエ

「スクアラミン プルミエ」は、深海に棲むアイ鮫の肝臓を厳しい温度管理のもとに「加熱」を一切せず、「冷凍自然分離法」によってつくられた天然生肝油100％の自然食品;です。非加熱処理製造のためアイ鮫の肝臓に含まれる有効成分が壊れることなく天然最強の抗生物質といわれている""スクアラミン""をはじめスクワレン・ビタミン・ミネラルなど人間の持つ機能を高めるといわれる多種類の良質な成分が豊富に含まれています。
(この製法特許番号は1543258です)",スクアラミン,,2018-09-28 10:14:52,2018-09-28 10:14:52,product
